isolateID	year_isolation	body_site	ST	FLC_MIC	VRC_MIC	POS_MIC	AMB_MIC	CAS_MIC
ATCC 90030	NA	Blood	ST10	8	0.5	1	1	0.06
WM_04.242	2002	Blood	ST7	32	0.5	NA	0.25	0.06
WM_03.308	2003	Blood	ST7	8	0.25	0.125	0.125	0.008
WM_03.419	2003	Blood	ST83	128	2	1	1	0.008
WM_03.449	2003	Blood	ST26	64	1	0.5	0.25	0.25
WM_03.450	2003	Blood	ST83	32	0.5	0.5	0.06	0.25
WM_03.698	2003	Blood	ST7	32	1	0.5	0.06	0.25
WM_03.707	2003	Blood	ST83	16	0.25	1	1	0.12
WM_04.113	2003	Blood	ST123	128	2	2	0.125	0.125
WM_04.387	2003	Blood	ST7	32	0.5	NA	0.25	0.25
WM_04.194	2004	Blood	ST3	4	0.25	NA	1	0.25
WM_05.155	2004	Blood	ST126	16	0.5	0.5	0.25	0.03
WM_05.111	2004	Blood	ST55	32	1	NA	0.25	1
WM_05.113	2004	Blood	ST18	64	1	NA	0.25	0.06
WM_18.26	2010	Blood	ST10	8	0.12	0.5	2	16
WM_18.24	2012	Blood	ST16	4	0.06	0.25	0.5	8
WM_18.30	2014	Blood	ST3	16	0.5	1	1	0.25
WM_18.31	2014	Blood	ST45	1	0.06	0.12	0.5	0.03
WM_18.33	2014	Blood	ST7	128	2	16	0.5	0.06
WM_18.36	2014	Blood	ST36	8	0.25	1	1	0.12
WM_18.39	2014	Blood	ST83	2	0.03	0.06	0.5	0.06
WM_18.40	2014	Blood	ST46	128	2	16	1	0.06
WM_18.41	2014	Blood	ST123	8	0.25	1	0.5	0.12
WM_18.42	2014	Blood	ST123	256	8	1	0.25	0.25
WM_18.43	2014	Blood	ST83	8	0.25	1	1	0.06
WM_18.44	2014	Blood	ST3	16	0.5	2	1	0.06
WM_18.45	2014	Blood	ST127	16	0.25	1	0.5	0.06
WM_18.34	2015	Blood	ST3	16	0.5	1	1	0.06
WM_18.35	2015	Blood	ST3	4	0.12	0.25	0.5	0.03
WM_18.37	2015	Blood	ST22	16	0.25	1	0.5	0.12
WM_18.38	2015	Blood	ST6	8	0.25	1	1	0.25
WM_18.47	2015	Blood	ST46	16	0.25	0.5	1	0.25
WM_18.48	2015	Blood	ST83	32	1	2	1	0.06
WM_18.27	2015	Blood	ST26	256	8	16	1	0.12
WM_18.29	2015	Body fluid	ST10	4	0.5	0.5	0.5	0.06
WM_18.49	2017	Blood	ST26	256	2	16	0.5	0.12
WM_18.50	2017	Blood	ST59	8	0.25	1	1	0.06
WM_18.51	2017	Blood	ST46	128	2	16	1	0.06
WM_18.52	2017	Body fluid	ST16	4	0.12	0.5	0.25	0.12
WM_18.53	2017	Blood	ST123	128	4	16	1	0.12
WM_18.54	2017	Blood	ST26	0.5	0.03	0.03	1	0.25
WM_18.55	2017	Blood	ST3	8	0.25	1	1	0.25
WM_18.56	2017	Blood	ST22	32	0.5	2	0.5	0.12
WM_18.57	2017	Blood	ST16	8	0.5	2	0.5	0.12
WM_18.59	2017	Blood	ST3	16	1	2	0.5	0.12
WM_18.60	2017	Blood	ST3	8	0.5	1	0.5	0.12
WM_18.62	2017	Blood	ST55	32	2	2	1	0.06
WM_18.63	2017	Blood	ST8	2	0.12	0.25	0.5	2
WM_18.64	2017	Blood	ST8	4	0.12	0.25	0.5	2
WM_18.65	2017	Blood	ST83	64	1	2	0.5	0.12
WM_18.66	2017	Blood	ST124	256	8	2	0.125	0.25
WM_18.67	2017	Tissue	ST26	16	0.5	1	1	0.5
