strain	source_type	country	FLC_MIC	CAS_MIC	unk1	MLST_DST	MLST_clade	unk2	coverage	nreads		
SC5314	inv	unknown	0.25	0.032	 	52	1	 	112	8707032
CEC1424	sup	Niger	0.38	0.032	 	949	1	 	66	5470365
CEC3534	com	Morocco	0.25	0.032	 	79	1	 	56	5136349
CEC3623	com	Morocco	0.5	0.023	 	1364	1	 	113	9170218
CEC3627	com	Brazil	0.25	0.032	 	435	1	 	42	3939244
CEC3544	com	Belgium	0.38	0.023	 	572	1	 	74	6285370
CEC3609	com	Morocco	0.25	0.047	 	1399	1	 	62	5662630
CEC3672	inv	France	0.25	0.064	 	69	1	 	43	4238221
CEC4108	sup	Senegal	0.19	0.032	 	3044	1	 	45	3587633
CEC3682	inv	France	0.25	0.023	 	408	1	 	59	5306089
CEC3673	inv	France	0.25	0.032	 	69	1	 	51	5317899
CEC3560	sup	Niger	0.25	0.016	 	24	1	 	54	5677630
CEC3621	com	Brazil	0.25	0.094	 	1400	1	 	146	11408364
CEC3678	sup	France	0.75	0.032	 	2273	1	 	42	4214744
CEC4106	sup	Senegal	0.19	0.032	 	2603	1	 	85	6580720
CEC2020	inv	Morocco	0.38	0.047	 	69	1	 	46	3633721
CEC3662	inv	France	0.19	0.064	 	2231	1	 	96	8366048
CEC3603	com	Morocco	0.25	0.023	 	1393	1	 	46	4554364
CEC3605	com	Morocco	0.5	0.047	 	1388	1	 	42	4428884
CEC4029	sup	UK	0.38	0.047	 	69	1	 	164	12747576
CEC4035	sup	UK	0.25	0.19	 	2326	1	 	143	10941419
CEC4256	sup	France	0.75	0.023	 	803	1	 	97	7596500
CEC3554	sup	France	0.25	0.047	 	69	1	 	64	6008461
CEC3559	sup	France	0.19	0.016	 	129	1	 	57	5519385
CEC4479	NA	France	0.25	0.125	 	408	1	 	101	7729673
CEC4480	NA	France	0.19	0.25	 	364	1	 	182	13535475
CEC4484	NA	France	0.38	0.125	 	3103	1	 	111	8454367
CEC4488	NA	France	0.125	0.094	 	3098	1	 	140	10439551
CEC4489	NA	France	0.19	0.064	 	237	1	 	75	5809128
CEC4496	NA	France	0.25	0.125	 	3108	1	 	178	13696025
CEC4499	NA	France	0.125	0.25	 	3110	1	 	152	12021248
CEC4500	NA	France	0.25	0.125	 	3111	1	 	205	16263673
CEC3636	sup	UK	0.25	0.032	 	232	2	 	131	10436389
CEC4107	sup	UK	0.094	0.125	 	208	2	 	47	3735732
CEC2021	inv	France	0.38	0.047	 	916	2	 	83	6641033
CEC3531	com	France	0.25	0.032	 	216	2	 	73	6927270
CEC3669	sup	France	0.25	0.047	 	2235	2	 	73	6823220
CEC3549	com	Belgium	0.25	0.016	 	999	2	 	74	6412696
CEC3612	com	Morocco	0.25	0.047	 	1396	2	 	56	5541089
CEC3553	com	Belgium	0.25	0.023	 	910	2	 	52	5002968
CEC3614	com	Morocco	0.5	0.064	 	1398	2	 	66	6322170
CEC4022	sup	UK	0.25	0.032	 	232	2	 	168	13012182
