strain;AMB_MIC90;AMB_resistance;5FC_MIC;FLC_MIC;FLC_resistance;VRC_MIC;POS_MIC;IVZ_MIC;MIF_MIC;MIF_resistance;CAS_MIC
M17;0,004;S;>64;8;I;0,25;0.500-1;0.032-0.064;0.032-0.064;R;0.032-0.064
F1019;0,004;S;0.032-0.064;4 – 8;I;0.125-0.250;0.500-1;0.032-0.064;0.032-0.064;R;0.032-0.125
F1822;0,004;S;0.032-0.064;8;I;0.125-0.500;0.500-1;0.064-0.250;0.032-0.064;R;0,125
M12;0,004;S;0.032-0.064;8;I;0.064-0.250;1 – 4;0,125;0.032-0.064;R;0.032-0.064
CST78;0,004;S;0,032;4 – 8;I;0,125;0.500-1;0,064;0.032-0.064;R;0.032-0.064
F2229;0,004;S;0.032-0.064;8;I;0.125-0.250;1;0,064;0.032-0.250;R;0.064-0.250
I1718;0,004;S;0,032;1 – 4;I;0.125-0.250;0.500-1;0.032-0.064;0.032-0.064;R;0.032-0.064
EB0911;0,004;S;0.032-0.064;8;I;0.032-0.125;0.500-1;0.032-0.125;0.032-0.125;R;0,125
CST35;0.004-0.008;S;0,064;8 – 16;I;0.32-1;0.500-2;0,064;0,032;S;0.032-0.125
CST34;0,004;S;0.032-0.064;16;I;0.250-0.500;1;0.064-0.250;0.032-0.064;R;0.032-0.125
CST109;0.004-0.032;S;0.032-0.125;4;I;0.064-0.125;0.064-0.500;0.064-0.250;0.032-0.064;R;0.032-0.125
CST80;0,004;S;0.032-0.064;8;I;0,125;0.500-1;0.032-0.064;0.032-0.064;R;0.032-0.064
M7;0,004;S;0.032-0.064;64;R;2 – 8;2 – 8;0.250-1;0.032-0.250;R;0.064-0.250
EB101M;0.004-0.008;S;0.032-0.064;8;I;0.125-0.500;1;0,125;0.032-0.064;R;0.032-0.125
BO101S;0,004;S;0.032-0.064;4 – 8;I;0.032-0.125;0.500-1;0.032-0.064;0.032-0.125;R;0.032-0.064
B1012S;0,004;S;0.032-0.064;4;I;0.064-0.250;0.500-1;0,032;0.032-0.064;R;0.032-0.125
B1012M;0,004;S;0.032-0.064;2 – 4;I;0.125-0.250;0.500-1;0,032;0.032-0.125;R;0.064-0.125
EF1237;0,004;S;0.032-0.064;4 – 8;I;0.064-0.125;0.500-1;0.032-0.064;0.032-0.064;R;0.032-0.125
EI1815;0,004;S;0.064-0.125;2 – 4;I;0.032-0.064;0.250-0.500;0.032-0.250;0.032-0.064;R;0.032-0.125
EF1620;0,004;S;0.032-0.064;4 – 8;I;0.064-0.250;0.500-1;0.032-0.064;0.032-0.064;R;0.032-0.125
EF0616;0.004-0.008;S;0.032-0.064;8;I;0.125-0.500;0.500-1;0.032-0.064;0.032-0.064;R;0.032-0.125
F15;0,004;S;0.032-0.064;4 – 8;I;0.125-0.250;0.500-1;0,064;0.032-0.250;R;0.032-0.064
F11;0,004;S;0.032-0.064;4;I;0.125-0.250;0.500-1;0.032-0.064;0.032-0.064;R;0.032-0.064
E1114;0,004;S;0.032-0.125;8;I;0.032-0.250;0.250-0.500;0.032-0.125;0.032-0.064;R;0.032-0.125
M6;0,004;S;0.032-0.064;128;R;4 – 8;>64;2 – 4;0.032-0.064;R;0.064-0.125
CST110;0,004;S;0.032-0.064;4 – 8;I;0,125;0.250-1;0.032-0.064;0.032-0.250;R;0.032-0.064
EG01004;0,004;S;0.032-0.064;16;I;0,25;0.500-2;0.064-0.250;0.032-0.064;R;0.032-0.125
F15021;0,004;S;0.032-0.064;8;I;0,125;0.500-1;0,032;0.032-0.064;R;0.032-0.064
F03013;0,004;S;0,032;8;I;0,125;0.500-1;0,032;0.032-0.064;R;0.032-0.064
BG2;0.004-0.008;S;0.032-0.064;16;I;0.064-0.125;1;0.064-0.250;0.032-0.064;R;0.032-0.064
P35_2;0,004;S;0.032-0.064;8 – 16;I;0.125-0.250;-1;0.032-0.064;0.032-0.064;R;0.032-0.064
P35_1;0,004;S;0,064;4 – 16;I;0.250-0.500;-1;0.125-0.250;0.032-0.064;R;0.032-0.064
CBS138;0,004;S;0,032;4;I;0,064;0,5;0,032;0,032;S;0,064
