species_name	BioProject	Run	strain	paper_link	AMB_MIC	ITR_MIC	POS_MIC	VRC_MIC	FLC_resistance	AMB_resistance	ITR_resistance	POS_resistance	VRC_resistance
Candida_auris	PRJNA549344	SRR9316720	RI-A112	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8183536/	1.0	0.25	0.12	2.0	R	I	I	R	R
Candida_auris	PRJNA549344	SRR9316721	RICU18_A113	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8183536/	1.0	0.25	0.12	1.0	R	I	I	R	I
Candida_auris	PRJNA549344	SRR9316722	RI-A114	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8183536/	1.0	0.5	0.12	2.0	R	I	R	R	R
Candida_auris	PRJNA549344	SRR9316723	RICU19_A115	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8183536/	1.0	0.25	0.12	2.0	R	I	I	R	R
Candida_auris	PRJNA549344	SRR9316726	RICU15_A110	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8183536/	0.5	0.25	0.06	1.0	R	S	I	I	I
Candida_auris	PRJNA549344	SRR9316727	RICU9_A111	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8183536/	0.5	0.25	0.12	1.0	R	S	I	R	I
Candida_auris	PRJNA549344	SRR9316728	RICU9_A116	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8183536/	1.0	0.25	0.12	2.0	R	I	I	R	R
Candida_auris	PRJNA549344	SRR9316729	RICU5_A12	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8183536/	0.5	0.06	0.03	0.5	R	S	S	S	S
Candida_auris	PRJNA549344	SRR9316735	SICU2_A97	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8183536/	1.0	0.25	0.12	2.0	R	I	I	R	R
Candida_auris	PRJNA549344	SRR9316737	BJCA001	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8183536/	0.25	0.03	0.02	0.02	S	S	S	S	S
Candida_auris	PRJNA549344	SRR9316738	RICU6_A14	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8183536/	0.5	0.12	0.03	0.5	R	S	S	S	S
Candida_auris	PRJNA549344	SRR9316739	NICU2_A13	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8183536/	1.0	0.12	0.06	1.0	R	I	S	I	I
Candida_auris	PRJNA549344	SRR9316741	NICU3_A15	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8183536/	0.5	0.12	0.06	0.5	R	S	S	I	S
Candida_auris	PRJNA549344	SRR9316744	RICU2_A2	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8183536/	0.5	0.12	0.06	1.0	R	S	S	I	I
Candida_auris	PRJNA549344	SRR9316745	NICU4_A19	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8183536/	0.5	0.12	0.06	1.0	R	S	S	I	I
Candida_auris	PRJNA549344	SRR9316746	RICU7_A22	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8183536/	0.5	0.12	0.06	1.0	R	S	S	I	I
Candida_auris	PRJNA549344	SRR9316747	NICU4_A20	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8183536/	1.0	0.25	0.06	4.0	R	I	I	I	R
Candida_auris	PRJNA549344	SRR9316749	RICU7_A29	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8183536/	1.0	0.25	0.06	2.0	R	I	I	I	R
Candida_auris	PRJNA549344	SRR9316751	NSICU1_A24	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8183536/	0.5	0.06	0.03	0.5	R	S	S	S	S
Candida_auris	PRJNA549344	SRR9316754	RICU3_A3	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8183536/	0.5	0.06	0.03	0.5	R	S	S	S	S
Candida_auris	PRJNA549344	SRR9316755	NSICU1_A31	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8183536/	1.0	0.5	0.06	2.0	R	I	R	I	R
Candida_auris	PRJNA549344	SRR9316756	NICU5_A36	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8183536/	0.5	0.06	0.03	0.5	R	S	S	S	S
Candida_auris	PRJNA549344	SRR9316762	NICU6_A41	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8183536/	0.5	0.06	0.03	0.5	R	S	S	S	S
Candida_auris	PRJNA549344	SRR9316763	RICU2_A4	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8183536/	1.0	1.0	0.06	4.0	R	I	R	I	R
Candida_auris	PRJNA549344	SRR9316765	RICU8_A38	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8183536/	0.5	0.06	0.03	0.5	R	S	S	S	S
Candida_auris	PRJNA549344	SRR9316768	NICU8_A48	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8183536/	1.0	0.25	0.12	2.0	R	I	I	R	R
Candida_auris	PRJNA549344	SRR9316769	RICU2_A5	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8183536/	2.0	0.25	0.06	1.0	R	R	I	I	I
Candida_auris	PRJNA549344	SRR9316771	NICU9_A51	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8183536/	1.0	0.12	0.06	1.0	R	I	S	I	I
Candida_auris	PRJNA549344	SRR9316772	RICU9_A52	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8183536/	1.0	0.25	0.12	2.0	R	I	I	R	R
Candida_auris	PRJNA549344	SRR9316775	RICU10_A57	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8183536/	1.0	0.25	0.12	2.0	R	I	I	R	R
Candida_auris	PRJNA549344	SRR9316776	NICU10_A58	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8183536/	1.0	0.25	0.12	2.0	R	I	I	R	R
Candida_auris	PRJNA549344	SRR9316779	RICU4_A7	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8183536/	1.0	0.5	0.12	4.0	R	I	R	R	R
Candida_auris	PRJNA549344	SRR9316780	SICU1_A66	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8183536/	1.0	0.5	0.25	2.0	R	I	R	R	R
Candida_auris	PRJNA549344	SRR9316781	RICU9_A65	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8183536/	1.0	0.25	0.12	1.0	R	I	I	R	I
Candida_auris	PRJNA549344	SRR9316785	RICU9_A61	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8183536/	1.0	0.25	0.12	2.0	R	I	I	R	R
Candida_auris	PRJNA549344	SRR9316788	RICU1_A1	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8183536/	0.5	0.06	0.03	0.5	R	S	S	S	S
Candida_auris	PRJNA549344	SRR9316789	RICU4_A10	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8183536/	1.0	0.25	0.12	2.0	R	I	I	R	R
Candida_auris	PRJNA549344	SRR9316790	NICU15_A100	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8183536/	1.0	0.12	0.03	0.5	R	I	S	S	S
Candida_auris	PRJNA549344	SRR9316791	NICU16_A101	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8183536/	1.0	0.12	0.03	1.0	R	I	S	S	I
Candida_auris	PRJNA549344	SRR9316792	NICU16_A102	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8183536/	0.5	0.12	0.06	0.5	R	S	S	I	S
Candida_auris	PRJNA549344	SRR9316793	NICU16_A103	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8183536/	0.5	0.25	0.06	1.0	R	S	I	I	I
Candida_auris	PRJNA549344	SRR9316794	NICU16_A104	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8183536/	1.0	0.5	0.12	4.0	R	I	R	R	R
Candida_auris	PRJNA549344	SRR9316795	RICU15_A105	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8183536/	1.0	0.25	0.12	1.0	R	I	I	R	I
Candida_auris	PRJNA549344	SRR9316797	RICU16_A107	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8183536/	1.0	0.25	0.12	2.0	R	I	I	R	R
Candida_auris	PRJNA549344	SRR9316798	RICU12_A80	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8183536/	1.0	0.25	0.12	2.0	R	I	I	R	R
Candida_auris	PRJNA549344	SRR9316799	RICU11_A81	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8183536/	1.0	0.25	0.12	2.0	R	I	I	R	R
Candida_auris	PRJNA549344	SRR9316801	RICU4_A8	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8183536/	0.5	0.12	0.06	1.0	R	S	S	I	I
