type_grouping	species	type_var	ID	ngenes_group_and_target	ngenes_no_group_target	ngenes_group_no_target	ngenes_no_group_no_target	OR	p_raw	p_fdr	group_name	genes
GO_BP	Candida_albicans	DEL	GO:0043710	5	42	3	4431	175.83333333333334	5.5852754304625094e-09	3.971130831058844e-06	cell adhesion involved in multi-species biofilm formation	C3_06190C_A,C3_06320W_A,C6_03700W_A,C6_03710W_A,CR_07070C_A
GO_BP	Candida_albicans	DEL	GO:0043709	5	42	17	4417	30.931372549019606	2.3532050433144406e-06	0.0006239984397824857	cell adhesion involved in single-species biofilm formation	C3_06190C_A,C3_06320W_A,C6_03700W_A,C6_03710W_A,CR_07070C_A
GO_BP	Candida_albicans	DEL	GO:0098609	5	42	18	4416	29.206349206349206	2.9833761279608217e-06	0.0006239984397824857	cell-cell adhesion	C6_03700W_A,C6_03710W_A,C6_04130C_A,C6_04380W_A,CR_07070C_A
GO_BP	Candida_albicans	DEL	GO:0043708	5	42	20	4414	26.273809523809526	4.637265083381054e-06	0.0006239984397824857	cell adhesion involved in biofilm formation	C3_06190C_A,C3_06320W_A,C6_03700W_A,C6_03710W_A,CR_07070C_A
GO_BP	Candida_albicans	DEL	GO:0007155	7	40	61	4373	12.545491803278688	5.2658096184176e-06	0.0006239984397824857	cell adhesion	C3_06190C_A,C3_06320W_A,C6_03700W_A,C6_03710W_A,C6_04130C_A,C6_04380W_A,CR_07070C_A
GO_BP	Candida_albicans	DEL	GO:0022610	8	39	87	4347	10.249336870026525	4.834252173628708e-06	0.0006239984397824857	biological adhesion	C3_05230W_A,C3_06190C_A,C3_06320W_A,C6_03700W_A,C6_03710W_A,C6_04130C_A,C6_04380W_A,CR_07070C_A
GO_BP	Candida_albicans	DEL	GO:0031589	5	42	38	4396	13.771929824561404	7.295786718103328e-05	0.007410434795102094	cell-substrate adhesion	C3_06190C_A,C3_06320W_A,C6_03700W_A,C6_03710W_A,CR_07070C_A
GO_BP	Candida_albicans	DEL	GO:0071502	2	45	0	4434	inf	0.0001076967832427344	0.00957155161069802	cellular response to temperature stimulus	C2_08870C_A,C6_04130C_A
GO_BP	Candida_albicans	DEL	GO:0044406	5	42	44	4390	11.877705627705629	0.00013788990239883999	0.010893302289508359	adhesion of symbiont to host	C3_05230W_A,C6_03700W_A,C6_04130C_A,C6_04380W_A,CR_07070C_A
GO_BP	Candida_albicans	DEL	GO:0051703	7	40	120	4314	6.29125	0.00030458029107478216	0.02066181669927962	biological process involved in intraspecies interaction between organisms	C1_00780C_A,C1_04140W_A,C4_03470C_A,C6_03700W_A,C6_03710W_A,C6_04380W_A,CR_07070C_A
GO_BP	Candida_albicans	DEL	GO:0044419	7	40	121	4313	6.237809917355372	0.00031966242432078176	0.02066181669927962	biological process involved in interspecies interaction between organisms	C1_00780C_A,C3_05230W_A,C4_03470C_A,C6_03700W_A,C6_04130C_A,C6_04380W_A,CR_07070C_A
GO_BP	Candida_albicans	DEL	GO:0046855	2	45	3	4431	65.64444444444445	0.0010554865545856329	0.04770585719327948	inositol phosphate dephosphorylation	C6_00970C_A,CR_02400W_A
GO_BP	Candida_albicans	DEL	GO:0071545	2	45	3	4431	65.64444444444445	0.0010554865545856329	0.04770585719327948	inositol phosphate catabolic process	C6_00970C_A,CR_02400W_A
GO_BP	Candida_albicans	DEL	GO:0044011	6	41	108	4326	5.861788617886178	0.0010897017403687379	0.04770585719327948	single-species biofilm formation on inanimate substrate	C1_00780C_A,C1_04140W_A,C4_03470C_A,C6_03700W_A,C6_04380W_A,CR_07070C_A
GO_BP	Candida_albicans	DEL	GO:0090605	6	41	108	4326	5.861788617886178	0.0010897017403687379	0.04770585719327948	submerged biofilm formation	C1_00780C_A,C1_04140W_A,C4_03470C_A,C6_03700W_A,C6_04380W_A,CR_07070C_A
GO_BP	Candida_albicans	DEL	GO:0090609	6	41	108	4326	5.861788617886178	0.0010897017403687379	0.04770585719327948	single-species submerged biofilm formation	C1_00780C_A,C1_04140W_A,C4_03470C_A,C6_03700W_A,C6_04380W_A,CR_07070C_A
GO_BP	Candida_albicans	DEL	GO:0044403	6	41	109	4325	5.806668158424704	0.0011406463745228567	0.04770585719327948	biological process involved in symbiotic interaction	C3_05230W_A,C4_03470C_A,C6_03700W_A,C6_04130C_A,C6_04380W_A,CR_07070C_A
GO_BP	Candida_albicans	DEL	GO:0044010	6	41	115	4319	5.496076352067869	0.0014859656182719685	0.05869564192174276	single-species biofilm formation	C1_00780C_A,C1_04140W_A,C4_03470C_A,C6_03700W_A,C6_04380W_A,CR_07070C_A
