species	type_var	chromosome	start	end	gff_upmost_parent	gene_name	Scerevisiae_orthologs	selection_score_S	fdr_p_S	orthofinder_orthocluster	n_types_vars_in_species_orthogroup	n_species_orthogroup	description	biological_process_GO	molecular_function_GO	cellular_component_GO	fraction_clusters_w_selection	fraction_strains_w_selection	total_number_clusters	total_number_strains	significant_selection
Candida_albicans	DEL	Ca22chr2A_C_albicans_SC5314	763392	765050	C2_03610W_A	FMO2		0.35883847942464714		OG0000050	1	1	Protein with a monooxygenase domain; Spider biofilm induced	GO:0008150 (biological_process)	GO:0003674 (molecular_function), GO:0004499 (N,N-dimethylaniline monooxygenase activity), GO:0050660 (flavin adenine dinucleotide binding), GO:0050661 (NADP binding)	GO:0005575 (cellular_component)	0.5753424657534246	0.2607260726072607	73	303	True
Candida_albicans	DEL	Ca22chr2A_C_albicans_SC5314	766541	768199	C2_03620W_A	IFK2		0.31278429494852766		OG0000050	1	1	Putative thiol-specific monooxygenase; mutant is viable; flow model biofilm induced	GO:0008150 (biological_process)	GO:0003674 (molecular_function), GO:0004499 (N,N-dimethylaniline monooxygenase activity), GO:0050660 (flavin adenine dinucleotide binding), GO:0050661 (NADP binding)	GO:0005575 (cellular_component)	0.5342465753424658	0.22112211221122113	73	303	True
Candida_albicans	DEL	Ca22chr6A_C_albicans_SC5314	898452	904754	C6_04130C_A	ALS4		0.2754016273732527		OG0000003	1	3	GPI-anchored adhesin; role in adhesion, germ tube induction; growth, temperature regulated; expressed during infection of human buccal epithelial cells; repressed by vaginal contact; biofilm induced; repressed during chlamydospore formation	GO:0007155 (cell adhesion), GO:0030448 (hyphal growth), GO:0044406 (adhesion of symbiont to host), GO:0071502 (cellular response to temperature stimulus), GO:0098609 (cell-cell adhesion)	GO:0003674 (molecular_function)	GO:0005576 (extracellular region), GO:0009277 (fungal-type cell wall), GO:0009986 (cell surface), GO:0030445 (yeast-form cell wall), GO:1903561 (extracellular vesicle)	0.4520547945205479	0.19801980198019803	73	303	True
Candida_albicans	DEL	Ca22chr6A_C_albicans_SC5314	971215	978303	C6_04380W_A	ALS2		0.24538930473030326		OG0000003	1	3	ALS family protein; role in adhesion, biofilm formation, germ tube induction; expressed at infection of human buccal epithelial cells; putative GPI-anchor; induced by ketoconazole, low iron and at cell wall regeneration; regulated by Sfu1p	GO:0007155 (cell adhesion), GO:0030448 (hyphal growth), GO:0044011 (single-species biofilm formation on inanimate substrate), GO:0044406 (adhesion of symbiont to host), GO:0098609 (cell-cell adhesion)	GO:0003674 (molecular_function)	GO:0009277 (fungal-type cell wall), GO:0009986 (cell surface), GO:1903561 (extracellular vesicle)	0.410958904109589	0.17491749174917492	73	303	True
Candida_albicans	DEL	Ca22chr6A_C_albicans_SC5314	416245	417378	C6_02030C_A		NNR2	0.2339641189481445		OG0003555	1	1	Putative protein of unknown function; stationary phase enriched protein	GO:0046496 (nicotinamide nucleotide metabolic process)	GO:0047453 (ATP-dependent NAD(P)H-hydrate dehydratase activity), GO:0052855 (ADP-dependent NAD(P)H-hydrate dehydratase activity)	GO:0005575 (cellular_component)	0.3835616438356164	0.16831683168316833	73	303	True
Candida_albicans	DEL	Ca22chr2A_C_albicans_SC5314	880756	883416	C2_04200W_A	TBF1	TBF1	0.213730324293571		OG0002265	1	1	Essential transcription factor; induces ribosomal protein genes and the rDNA locus; acts with Cbf1 at subset of promoters; recruits Fhl1 and Ifh1 to promoters; role is analogous to that of S. cerevisiae Rap1; Spider biofilm induced	GO:0001015 (snoRNA transcription by RNA polymerase II), GO:0009303 (rRNA transcription), GO:0010833 (telomere maintenance via telomere lengthening), GO:0031936 (negative regulation of chromatin silencing), GO:0032211 (negative regulation of telomere maintenance via telomerase), GO:0045944 (positive regulation of transcription by RNA polymerase II)	GO:0000978 (RNA polymerase II cis-regulatory region sequence-specific DNA binding), GO:0000981 (DNA-binding transcription factor activity, RNA polymerase II-specific), GO:0003700 (DNA-binding transcription factor activity), GO:0030674 (protein-macromolecule adaptor activity), GO:0042162 (telomeric DNA binding), GO:0042803 (protein homodimerization activity), GO:0043035 (chromatin insulator sequence binding), GO:0043565 (sequence-specific DNA binding)	GO:0000784 (chromosome, telomeric region), GO:0000790 (chromatin)	0.3150684931506849	0.1617161716171617	73	303	True
Candida_albicans	DEL	Ca22chr6A_C_albicans_SC5314	254510	265975	C6_01320W_A	TRA1	TRA1	0.19880168942147136		OG0003217	1	1	Subunit of the NuA4 histone acetyltransferase complex	GO:0006281 (DNA repair), GO:0006338 (chromatin remodeling), GO:0010674 (negative regulation of transcription from RNA polymerase II promoter involved in meiotic cell cycle), GO:0016573 (histone acetylation), GO:0043967 (histone H4 acetylation), GO:0045944 (positive regulation of transcription by RNA polymerase II)	GO:0004402 (histone acetyltransferase activity), GO:0005515 (protein binding), GO:0010485 (H4 histone acetyltransferase activity), GO:0016301 (kinase activity), GO:0016773 (phosphotransferase activity, alcohol group as acceptor)	GO:0000123 (histone acetyltransferase complex), GO:0000124 (SAGA complex), GO:0005634 (nucleus), GO:0035267 (NuA4 histone acetyltransferase complex), GO:0046695 (SLIK (SAGA-like) complex), GO:0070209 (ASTRA complex)	0.3150684931506849	0.14521452145214522	73	303	True
Candida_albicans	DEL	Ca22chr1A_C_albicans_SC5314	842768	843802	C1_04010C_A			0.19300261096605742		OG0004932	1	1	Protein with a NADP-dependent oxidoreductase domain; transcript induced by ketoconazole; rat catheter and Spider biofilm induced	GO:0008150 (biological_process)	GO:0003674 (molecular_function), GO:0047834 (D-threo-aldose 1-dehydrogenase activity)	GO:0005575 (cellular_component)	0.2876712328767123	0.14521452145214522	73	303	True
Candida_albicans	DEL	Ca22chr2A_C_albicans_SC5314	402391	404049	C2_02060C_A	FMO1		0.18276283618581907		OG0000050	1	1	Putative oxidoreductase; mutation confers hypersensitivity to toxic ergosterol analog, and to amphotericin B	GO:0035690 (cellular response to drug)	GO:0003674 (molecular_function), GO:0004499 (N,N-dimethylaniline monooxygenase activity), GO:0050660 (flavin adenine dinucleotide binding), GO:0050661 (NADP binding)	GO:0005575 (cellular_component)	0.3150684931506849	0.12871287128712872	73	303	True
Candida_albicans	DEL	Ca22chrRA_C_albicans_SC5314	493892	496609	CR_02220C_A	OPT3	OPT2	0.17808081820916474		OG0000006	1	2	Oligopeptide transporter; transcript induced by macrophage phagocytosis, BSA or peptides; fluconazole-induced; induced by Rim101 at pH 8; virulence-group-correlated expression; Hap43-repressed; Spider biofilm induced	GO:0006857 (oligopeptide transport), GO:0019740 (nitrogen utilization), GO:0035672 (oligopeptide transmembrane transport), GO:0042144 (vacuole fusion, non-autophagic), GO:0044088 (regulation of vacuole organization), GO:0045454 (cell redox homeostasis), GO:0051515 (positive regulation of monopolar cell growth), GO:0055085 (transmembrane transport), GO:0061091 (regulation of phospholipid translocation)	GO:0035673 (oligopeptide transmembrane transporter activity)	GO:0000138 (Golgi trans cisterna), GO:0005777 (peroxisome), GO:0005886 (plasma membrane)	0.3287671232876712	0.12211221122112212	73	303	True
